region1,region2,regiony,catalog1,catalog2,catalogy,catalog1zp,catalog2zp,x_range,parallel_cutoff1,parallel_cutoff2,Unnamed: 11,slope_2,d_slope_2,slope_fritz_2
NRCB1,NRCB1,NRCB1,F115W,F212N,F115W,0,0,"[4.9, 9.1]","[(6, 21.3), (8, 24.1)]","[(6, 20.5), (8, 23.3)]",,1.377305054,0.00702541,1.48927414
NRCB1,NRCB1,NRCB1,F115W,F212N,F212N,0,0,"[4.9, 9.1]","[(6, 15.2), (8, 16)]","[(6, 14.8), (8, 15.6)]",,0.40013069,0.0066149,0.48927414
NRCB1,NRCB5,NRCB1,F212N,F323N,F212N,0,0,"[-0.3, 1.25]","[(0, 15.85), (1, 14.9)]","[(0, 16.55), (1, 15.6)]",,-0.627778,0.06510995,2.795309353
NRCB1,NRCB5,NRCB5,F212N,F323N,F323N,0,0,"[-0.3, 1.35]","[(0, 15.35), (1, 13.95)]","[(0, 16), (1, 14.6)]",,-1.5594812,0.0891315,1.795309353
NRCB1,NRCB5,NRCB1,F212N,F405N,F212N,0,0,"[1.3, 2.9]","[(1.6, 15.1), (2.4, 16.5)]","[(1.6, 14.6), (2.4, 16)]",,1.640167266,0.04729695,1.602807187
NRCB1,NRCB5,NRCB5,F212N,F405N,F405N,0,0,"[1.3, 2.9]","[(1.6, 13.5), (2.3, 14)]","[(1.6, 13), (2.3, 13.5)]",,0.6555808955,0.04635951,0.6028071866
NRCB2,NRCB2,NRCB2,F115W,F212N,F115W,0,0,"[4.9, 9.3]","[(6.3, 21.3), (9, 25.2)]","[(6.3, 22), (9, 25.9)]",,1.368802485,0.00992212,1.48927414
NRCB2,NRCB2,NRCB2,F115W,F212N,F212N,0,0,"[5.1, 9.1]","[(6.2, 15.5), (7.9, 16.3)]","[(6.65, 15.2), (8.35, 16.0)]",,0.3972946518,0.00501518,0.48927414
NRCB2,NRCB5,NRCB2,F212N,F323N,F212N,0,0,"[-0.2, 1.3]","[(0, 15.85), (1, 15.2)]","[(0, 16.55), (1, 15.9)]",,0.4521976758,0.03712991,2.795309353
NRCB2,NRCB5,NRCB5,F212N,F323N,F323N,0,0,"[0.1, 1.4]","[(0, 15.65), (1, 14.15)]","[(0, 16.3), (1, 14.8)]",,-0.6306429,0.03386597,1.795309353
NRCB2,NRCB5,NRCB2,F212N,F405N,F212N,0,0,"[1.45, 2.9]","[(1.6, 15.1), (2.4, 16.5)]","[(1.6, 14.6), (2.4, 16)]",,1.50462964,0.04801256,1.602807187
NRCB2,NRCB5,NRCB5,F212N,F405N,F405N,0,0,"[1.2, 2.9]","[(1.6, 13.5), (2.3, 14)]","[(1.6, 13), (2.3, 13.5)]",,0.4785515759,0.03646809,0.6028071866
NRCB3,NRCB3,NRCB3,F115W,F212N,F115W,0,0,"[5.4, 9.6]","[(6, 21.3), (8, 24.1)]","[(6, 20.5), (8, 23.3)]",,1.339973987,0.01392096,1.48927414
NRCB3,NRCB3,NRCB3,F115W,F212N,F212N,0,0,"[5.4, 9.4]","[(6, 15.2), (8, 16)]","[(6, 14.8), (8, 15.6)]",,0.3781382926,0.01066817,0.48927414
NRCB3,NRCB5,NRCB3,F212N,F323N,F212N,0,0,"[-0.5, 1.7]","[(0, 15.85), (1, 15.3)]","[(0, 16.55), (1, 16)]",,0.2439827618,0.02756879343,2.795309353
NRCB3,NRCB5,NRCB5,F212N,F323N,F323N,0,0,"[-0.5, 1.7]","[(0, 15.4), (1, 14.25)]","[(0, 16.05), (1, 14.9)]",,-0.8137056,0.02464799029,1.795309353
NRCB3,NRCB5,NRCB3,F212N,F405N,F212N,0,0,"[1.4, 3.5]","[(1.6, 15.2), (2.4, 16.6)]","[(1.6, 14.5), (2.4, 15.9)]",,1.633282523,0.07866517,1.602807187
NRCB3,NRCB5,NRCB5,F212N,F405N,F405N,0,0,"[1.4, 3.5]","[(1.6, 13.6), (2.3, 13.8)]","[(1.6, 13.1), (2.3, 13.3)]",,0.3971853563,0.09833928,0.6028071866
NRCB4,NRCB4,NRCB4,F115W,F212N,F115W,0,0,"[5.1, 9.3]","[(6.3, 21.3), (9, 25.2)]","[(6.3, 22), (9, 25.9)]",,1.404340277,0.00578347,1.48927414
NRCB4,NRCB4,NRCB4,F115W,F212N,F212N,0,0,"[5.1, 9.3]","[(6, 15.2), (8, 16.1)]","[(6, 14.8), (8, 15.7)]",,0.4371772627,0.00859902,0.48927414
NRCB4,NRCB5,NRCB4,F212N,F323N,F212N,0,0,"[-0.3, 1.65]","[(0, 15), (1, 15.5)]","[(0, 15.5), (1, 16)]",,0.29492101692738165,0.0330227658417887,2.7953093530080713
NRCB4,NRCB5,NRCB5,F212N,F323N,F323N,0,0,"[-0.3, 1.65]","[(0, 15.0), (1, 14.3)]","[(0, 15.6), (1, 14.9)]",,-0.7184058943602724,0.02013341588727444,1.7953093530080715
NRCB4,NRCB5,NRCB4,F212N,F405N,F212N,0,0,"[1.4, 3.5]","[(1.6, 15.1), (2.4, 16.5)]","[(1.6, 14.6), (2.4, 16)]",,1.4367341835832002,0.02784621274302478,1.6028071866236053
NRCB4,NRCB5,NRCB5,F212N,F405N,F405N,0,0,"[1.4, 3.5]","[(1.6, 13.5), (2.3, 14)]","[(1.6, 13), (2.3, 13.5)]",,0.4845737889371694,0.040340951902307055,0.6028071866236052
